train_no,station_code,prev_delay_bucket,predicted_delay_min
11302,KLBG,60-120,42.6
11302,KLBG,120+,62.5
11302,KSN,0-5,16.3
11302,KSN,5-15,16.3
11302,KSN,15-30,16.5
11302,KSN,30-60,22.1
11302,KSN,60-120,40.0
11302,KSN,120+,59.4
11302,KWV,0-5,27.0
11302,KWV,5-15,27.0
11302,KWV,15-30,27.3
11302,KWV,30-60,33.0
11302,KWV,60-120,60.9
11302,KWV,120+,91.6
11302,KYN,0-5,27.8
11302,KYN,5-15,27.9
11302,KYN,15-30,28.5
11302,KYN,30-60,34.9
11302,KYN,60-120,64.6
11302,KYN,120+,97.5
11302,LNL,0-5,17.1
11302,LNL,5-15,17.1
11302,LNL,15-30,17.4
11302,LNL,30-60,23.1
11302,LNL,60-120,44.7
11302,LNL,120+,64.6
11302,MALM,0-5,16.7
11302,MALM,5-15,16.8
11302,MALM,15-30,17.0
11302,MALM,30-60,22.6
11302,MALM,60-120,40.8
11302,MALM,120+,60.0
11302,NW,0-5,23.6
11302,NW,5-15,23.6
11302,NW,15-30,23.9
11302,NW,30-60,29.7
11302,NW,60-120,55.5
11302,NW,120+,83.3
11302,PKD,0-5,26.8
11302,PKD,5-15,26.8
11302,PKD,15-30,27.1
11302,PKD,30-60,32.9
11302,PKD,60-120,60.9
11302,PKD,120+,91.0
11302,PUNE,0-5,15.8
11302,PUNE,5-15,15.8
11302,PUNE,15-30,16.1
11302,PUNE,30-60,21.8
11302,PUNE,60-120,40.0
11302,PUNE,120+,58.9
11302,RC,0-5,11.9
11302,RC,5-15,11.9
11302,RC,15-30,12.1
11302,RC,30-60,16.9
11302,RC,60-120,30.3
11302,RC,120+,45.5
11302,SADP,0-5,15.7
11302,SADP,5-15,15.8
11302,SADP,15-30,16.1
11302,SADP,30-60,21.6
11302,SADP,60-120,39.0
11302,SADP,120+,57.7
11302,SBC,0-5,4.7
11302,SBC,5-15,4.8
11302,SBC,15-30,5.0
11302,SBC,30-60,7.6
11302,SBC,60-120,19.1
11302,SBC,120+,24.7
11302,SDB,0-5,16.5
11302,SDB,5-15,16.6
11302,SDB,15-30,16.8
11302,SDB,30-60,22.4
11302,SDB,60-120,40.4
11302,SDB,120+,59.7
11302,SSPN,0-5,27.0
11302,SSPN,5-15,27.1
11302,SSPN,15-30,27.7
11302,SSPN,30-60,33.4
11302,SSPN,60-120,61.3
11302,SSPN,120+,92.7
11302,SUR,0-5,17.1
11302,SUR,5-15,17.1
11302,SUR,15-30,17.4
11302,SUR,30-60,23.0
11302,SUR,60-120,42.2
11302,SUR,120+,61.5
11302,URI,0-5,11.6
11302,URI,5-15,11.7
11302,URI,15-30,11.9
11302,URI,30-60,16.8
11302,URI,60-120,31.8
11302,URI,120+,47.3
11302,WADI,0-5,12.3
11302,WADI,5-15,12.3
11302,WADI,15-30,12.5
11302,WADI,30-60,17.6
11302,WADI,60-120,32.2
11302,WADI,120+,49.0
11302,YG,0-5,12.8
11302,YG,5-15,12.9
11302,YG,15-30,13.0
11302,YG,30-60,17.9
11302,YG,60-120,32.2
11302,YG,120+,48.8
11302,YNK,0-5,17.5
11302,YNK,5-15,17.5
11302,YNK,15-30,17.8
11302,YNK,30-60,23.4
11302,YNK,60-120,42.8
11302,YNK,120+,63.4
12001,AGC,0-5,26.9
12001,AGC,5-15,26.9
12001,AGC,15-30,27.3
12001,AGC,30-60,33.0
12001,AGC,60-120,63.1
12001,AGC,120+,94.9
12001,BINA,0-5,12.4
12001,BINA,5-15,12.4
12001,BINA,15-30,12.5
12001,BINA,30-60,21.0
12001,BINA,60-120,42.5
12001,BINA,120+,76.1
12001,BPL,0-5,11.7
12001,BPL,5-15,11.7
12001,BPL,15-30,12.7
12001,BPL,30-60,21.7
12001,BPL,60-120,45.9
12001,BPL,120+,85.1
12001,DHO,0-5,15.7
12001,DHO,5-15,15.8
12001,DHO,15-30,16.8
12001,DHO,30-60,27.2
12001,DHO,60-120,59.7
12001,DHO,120+,103.8
12001,GWL,0-5,23.6
12001,GWL,5-15,23.6
12001,GWL,15-30,24.7
12001,GWL,30-60,35.0
12001,GWL,60-120,72.5
12001,GWL,120+,122.4
12001,LAR,0-5,17.9
12001,LAR,5-15,17.9
12001,LAR,15-30,19.0
12001,LAR,30-60,29.2
12001,LAR,60-120,62.7
12001,LAR,120+,107.9
12001,MRA,0-5,24.7
12001,MRA,5-15,24.7
12001,MRA,15-30,26.0
12001,MRA,30-60,36.0
12001,MRA,60-120,74.6
12001,MRA,120+,126.1
